statusId | label
29|Sit
30|Sit (phone)
31|Walk
32|Walk (phone)
statusId|sensorName|value|timestamp
29|AK09918C|[-0.2999878,-29.87999,-12.359985]|1689110349728
29|AK09918C|[-0.35998535,-29.399994,-12.299988]|1689110349748
29|AK09918C|[-0.41999817,-29.279999,-11.87999]|1689110349767
29|AK09918C|[-0.71998596,-29.519989,-11.579987]|1689110349788
29|AK09918C|[-0.95999146,-29.399994,-11.459991]|1689110349808
29|AK09918C|[-0.95999146,-29.699997,-11.399994]|1689110349828
29|AK09918C|[-0.83999634,-29.519989,-11.519989]|1689110349848
29|AK09918C|[-0.83999634,-29.64,-11.639999]|1689110349868
29|AK09918C|[-0.59999084,-29.759995,-11.939987]|1689110349888
29|AK09918C|[-0.2999878,-29.579987,-11.699997]|1689110349908
29|AK09918C|[-0.41999817,-29.459991,-11.819992]|1689110349928
29|AK09918C|[-0.47999573,-29.339996,-11.87999]|1689110349948
29|AK09918C|[-0.23999023,-29.159988,-12.059998]|1689110349968
29|AK09918C|[-0.23999023,-29.699997,-12.359985]|1689110349988
29|AK09918C|[0.05999756,-29.87999,-12.119995]|1689110350008
29|AK09918C|[0.2999878,-29.459991,-12.179993]|1689110350028
29|AK09918C|[0.5399933,-29.399994,-11.579987]|1689110350048
29|AK09918C|[0.23999023,-29.219986,-11.699997]|1689110350068
29|AK09918C|[0.05999756,-29.339996,-11.399994]|1689110350087
29|AK09918C|[0.35998535,-29.579987,-11.099991]|1689110350108
29|AK09918C|[0.05999756,-30.119995,-11.819992]|1689110350128
29|AK09918C|[0.5399933,-30.359985,-11.699997]|1689110350148
29|AK09918C|[0.2999878,-30.539993,-12.179993]|1689110350168
29|AK09918C|[0.35998535,-30.779999,-12.479996]|1689110350188
29|AK09918C|[0.35998535,-30.359985,-12.23999]|1689110350208
29|AK09918C|[0.35998535,-30.419998,-12.059998]|1689110350228
29|AK09918C|[0.47999573,-30.119995,-11.819992]|1689110350248
29|AK09918C|[0.0,-29.819992,-12.059998]|1689110350268
29|AK09918C|[-0.2999878,-29.399994,-12.23999]|1689110350288
29|AK09918C|[-0.5399933,-28.799988,-12.23999]|1689110350308
29|AK09918C|[-0.5399933,-28.979996,-12.599991]|1689110350328
